,"Järvien lukumäärä","Pinta-ala yhteensä"
Ylä-Kivilampi,2,8 ha
Kortlampi,1,3 ha
Kokkoraate,1,12 ha
Savilammi,4,7 ha
Porovesi,1,2 212 ha
Käskylampi,1,2 ha
Vilmalammit,1,14 ha
Iso-Melanen,1,38 ha
Seppälampi,1,4 ha
Suolammi,8,21 ha
"Iso Olkilampi",2,15 ha
Kuhkespokki,1,2 ha
Kallträsket,1,17 ha
Jylänki,2,261 ha
Kankari,1,18 ha
Kankarisvesi,1,829 ha
Hautojärvi,1,102 ha
Kavilanjärvi,1,15 ha
"Alinen Niemisjärvi",1,15 ha
Riisilampi,1,2 ha
Letkunmaanjärvi,1,5 ha
Vähä-Laippa,1,3 ha
Möykynlampi,1,3 ha
Iso-Kartiska,1,5 ha
Hietasenjärvi,2,149 ha
Verkkolammi,1,3 ha
Hänninjärvi,2,16 ha
Pihlainen,2,17 ha
Ahmajärvi,4,43 ha
Suuri-Pitkä,1,26 ha
Ylinenlampi,4,8 ha
"Paha Poskijärvi",1,2 ha
Jaamanlampi,1,8 ha
Suuri-Martimo,1,6 ha
Pohjanselkä,1,40 ha
Morruulampi,1,4 ha
Ala-Irni,1,3 240 ha
Naulalampi,2,6 ha
Iso-Joutenlampi,2,26 ha
Etelälahti,4,17 ha
Kaarttanen,1,2 ha
Pikku-Rahtunen,1,2 ha
Marjalampi,7,21 ha
Myllylahti,2,29 ha
Hjuljärv,1,27 ha
Iso-Peura,2,19 ha
Ylimutkanjärvi,1,12 ha
Heikkalampi,1,4 ha
Kynsijärvi,1,1 268 ha
Mustalampi,391,1 840 ha
Pieni-Portimo,1,2 ha
Vähä-Kailo,1,1 ha
Asumainen,1,7 ha
Ylä-Orilampi,1,2 ha
Iso-Surnu,1,37 ha
Reuhkonlampi,1,5 ha
Loukeinen,2,138 ha
Iso-Vissanen,1,42 ha
"Pieni Kurenjärvi",1,1 ha
Huukinlampi,1,1 ha
Hyhmäjärvi,1,23 ha
"Alimmainen Rassujärvi",1,6 ha
Rahtunen,1,14 ha
"Iso Kuorejärvi",2,28 ha
Saari-Palonen,1,26 ha
Kaitura,1,12 ha
Tarikkojärvi,1,9 ha
"Iso Kaatluoma",1,147 ha
Hyvä-Valkee,1,13 ha
"Björby träsk",1,15 ha
Bjurmossaträsket,1,3 ha
Keski-Sukkula,1,77 ha
Märkjärvi,2,516 ha
Letvelampi,2,37 ha
"Alanen Savijärvi",1,59 ha
Hiirijärvi,3,55 ha
Huosilampi,1,11 ha
"Pieni Välilampi",1,2 ha
Rajalompolo,1,6 ha
Rausanjärvi,1,13 ha
Iso-Lemmistö,1,123 ha
Olkolampi,2,6 ha
Hinjärv,1,786 ha
Havanganjärvi,1,173 ha
Tuli-Toiviainen,1,20 ha
Toraslampi,1,8 ha
Rakunlampi,1,6 ha
Takalonlampi,1,6 ha
Valkjärvi,75,2 378 ha
Paarmajärvi,1,4 ha
Kimpari,1,6 ha
Heinäjärvi,57,992 ha
Kaija,7,151 ha
Laitjärvi,2,174 ha
Keski-Hoikka,1,4 ha
Taka-Saarinen,1,17 ha
Tennilampi,1,2 ha
Syvä-Kinnunen,1,26 ha
Heinivaho,1,8 ha
Peäldujävri,1,652 ha
Piironlampi,1,5 ha
Sorminjärvi,1,1 ha
"Hautamäen Hoikka",1,3 ha
Könkäänvaaranlampi,1,4 ha
Pyykkilammi,1,1 ha
Haiknepotten,1,2 ha
"Iso Matkajärvi",1,16 ha
Säimen,1,108 ha
Juustojärvi,1,8 ha
Kaustarlampi,1,4 ha
Kolmisoppinen,25,154 ha
Kortamojärvi,1,76 ha
"Ylimmäinen Mikonlampi",1,3 ha
Heiskasenluoma,1,7 ha
Pekkalanjärvi,1,36 ha
Sorveislampi,1,1 ha
Pieksunjärvi,1,53 ha
Čevetjävri,1,1 790 ha
Raikunjärvi,1,38 ha
Pekkalanlampi,2,8 ha
Keskipudas,1,3 ha
Alanenjärvi,2,75 ha
Tie-Kortteinen,1,3 ha
Joukkasjärvi,1,61 ha
Urkisto,1,1 ha
Patojärvi,2,177 ha
Porsainen,1,6 ha
Pökkilölampi,2,20 ha
Matala-Lotto,1,8 ha
Perukanlampi,1,5 ha
Merraslampi,1,7 ha
Oitojärvi,1,11 ha
Kaunitlampi,1,1 ha
Kahavetolainen,1,4 ha
Djupvikträsket,1,2 ha
Paavonseljänlampi,1,3 ha
Homelampi,1,3 ha
Kaijärvi,1,4 ha
Rosinjärvi,1,9 ha
Kirkopuoldsajavrrik,2,22 ha
"Alimmainen Pitkälompola",1,8 ha
"Pieni Haukkalampi",1,2 ha
"Suuri Laulaalampi",1,4 ha
"Vähä Karttiminjärvi",1,2 ha
Byrkholmsfjärden,1,573 ha
Kankaisenjärvi,1,17 ha
"Pitkä Helvetinjärvi",1,5 ha
Simananlampi,1,2 ha
Emonlampi,1,21 ha
Nälkäjärvi,9,158 ha
"Pirunlinnan Suonia",1,8 ha
"Träskars träsket",1,2 ha
Keskimmäinen-Ölkky,1,11 ha
Lauttijärvi,1,71 ha
Evajärvi,1,12 ha
Badjeluoppal,1,10 ha
Lautakämpänlantto,1,5 ha
Vihotunlampi,1,8 ha
Polunlampi,1,6 ha
Iso-Lattio,1,5 ha
Sikolammi,1,3 ha
Syvä-Kankainen,1,112 ha
Auvanen,1,7 ha
Kylkijärvi,4,46 ha
Suninlampi,1,1 ha
Jäminginselkä,1,4 272 ha
Oinilanlampi,1,1 ha
Sylyslampi,1,2 ha
Ylimmäinenjärvi,1,12 ha
Pieni-Saarinen,1,9 ha
Ala-Saarva,1,14 ha
Koukkarinlampi,1,2 ha
Tiiklampi,1,1 ha
Musta-Ruhmas,1,240 ha
"Iso Kylmälampi",1,7 ha
Vipusalonlampi,1,1 ha
Pikku-Lappi,1,10 ha
Iso-Laippa,1,14 ha
"Iso Petäälampi",1,10 ha
Talsanlampi,1,21 ha
"Iso Mustilampi",1,39 ha
Sejsar,1,12 ha
Upsalonlampi,1,15 ha
Putrolampi,2,5 ha
Varitunjärvi,1,4 ha
Kahusjärvi,1,28 ha
Kataloistenjärvi,1,107 ha
Kärjenlampi,1,26 ha
Pikku-Lehtonen,1,9 ha
Sottujärvi,1,11 ha
Suopankijärvi,1,206 ha
Putro,1,4 ha
Syrjänlampi,5,73 ha
"Iso Kontiolampi",1,8 ha
Akjärvi,1,3 ha
Suulampi,5,127 ha
Pikku-Koverus,1,3 ha
Västerviken,1,30 ha
"Pikku Raatejärvi",1,4 ha
Pitkotunjärvi,1,9 ha
"Pieni Pitämä",1,8 ha
Öykönlampi,1,12 ha
Timarinjärvi,1,14 ha
"Pieni Aittolampi",1,9 ha
"Ylinen Kotajärvi",2,8 ha
Paaslampi,1,4 ha
Perilahti,1,9 ha
Kisksjön,1,36 ha
Mannilammi,1,9 ha
Laipianlampi,1,1 ha
Tajasenlampi,1,1 ha
Hilpanlampi,2,18 ha
Emuulampi,1,4 ha
Hoikanpäälampi,1,1 ha
Ohtalampi,4,96 ha
Muttomträsket,1,35 ha
Salamalompolo,1,10 ha
Pyöriimä,1,8 ha
Hiukkanen,1,83 ha
Ainikkalampi,1,5 ha
Lummelampi,28,105 ha
Notträsk,1,2 ha
Leinakka,1,31 ha
Laulujärvi,1,32 ha
Sumulampi,1,5 ha
Timonlampi,6,17 ha
Lauttoluoma,1,12 ha
Valkolammi,2,3 ha
"Bajimuš Čuomasjávri",1,96 ha
Salvaja,1,7 ha
"Pieni Leppilampi",2,64 ha
Kasakkajärvi,1,1 ha
Yli-Heinijärvi,1,27 ha
"Pikku Salmijärvi",1,2 ha
Putilainen,2,22 ha
Saarnisuonjärvi,1,1 ha
"Keskimmäinen Hirvilampi",1,3 ha
Kinkolampi,2,18 ha
Petkelejärvi,1,2 ha
"Iso Ollinjärvi",1,26 ha
Leinamonjärvi,1,20 ha
Merilänlampi,1,2 ha
Tölli-Kivijärvi,1,8 ha
Raatteenlampi,1,5 ha
Kluuvi,1,7 ha
"Pieni Käkijärvi",1,3 ha
"Pieni Suojärvi",6,38 ha
Aisus,1,126 ha
Vahteralampi,1,1 ha
Painaanjärvi,1,62 ha
Yli-Heikinjärvi,1,22 ha
Vasemmaisenlampi,1,2 ha
"Pieni Särkkäjärvi",1,7 ha
Söderfjärden,1,5 ha
Tsuoikajavri,1,12 ha
Angasjärvi,1,44 ha
Abborrsjö,1,7 ha
Kostamo,2,229 ha
Jänttilänlampi,1,8 ha
Ymmyräinenjärvi,1,11 ha
"Pieni Majoinen",1,4 ha
Vähä-Tahko,1,11 ha
Risöträsket,1,18 ha
Liljajärvi,1,4 ha
Lahnio,1,13 ha
Brännträsket,1,9 ha
Saralammi,1,2 ha
Nammijärvi,1,1 500 ha
"Pieni Salkkilampi",1,4 ha
"Pieni Mutalahti",1,3 ha
Halijärvi,6,309 ha
Suppilompolo,1,20 ha
Iso-Musturi,1,7 ha
Kuolimo,1,7 910 ha
Syvänsi,1,1 493 ha
Muskonlampi,1,7 ha
Routtu,1,3 ha
Vasamoinen,1,1 ha
Iso-Ollove,1,16 ha
Saitanlampi,1,23 ha
"Iso Elehväjärvi",1,57 ha
Kapalampi,2,7 ha
Iso-Kauhea,1,5 ha
Kankainen,3,106 ha
Mustosenlampi,2,16 ha
Suvannonlahti,1,51 ha
Pelttarin-Hukkanen,1,8 ha
Siikolampi,1,11 ha
Iso-Kuukka,1,25 ha
Surnujärvi,1,1 444 ha
Pieni-Koiralampi,1,4 ha
Ahveninen,23,4 630 ha
Iso-Ympyriäinen,1,4 ha
Toivarlampi,1,3 ha
Båtörslagan,1,3 ha
Ämmänarkku,1,1 ha
Saarineitämöjärvi,1,11 ha
Puikonjärvi,1,54 ha
Niemenlampi,3,13 ha
Ylä-Valkeainen,1,75 ha
Kökköpäänlammi,1,1 ha
"Keskinen Kienajajärvi",1,3 ha
Ahtaanrako,1,2 ha
Ala-Kaurlampi,1,7 ha
Vähä-Haiskari,1,4 ha
Iso-Melkutin,1,62 ha
"Vähä Vuosjärvi",1,17 ha
Lonkkilampi,1,1 ha
Muoratisjavri,1,5 ha
Lonkalampi,1,1 ha
Narkausjärvi,1,124 ha
Vähä-Haikara,1,6 ha
"Niittu Vahvanen",1,12 ha
Lakiankankaanlampi,1,1 ha
Rakahjärvi,1,4 ha
"Pieni Aittalampi",1,2 ha
Särki-Valkeinen,3,19 ha
Palokkajärvi,1,258 ha
Jakolampi,3,18 ha
Loukaslampi,3,7 ha
Hivota,1,23 ha
Pitämänlampi,4,14 ha
Nahila,1,27 ha
Hukilommol,1,5 ha
Korvolinlahti,1,3 ha
"Suuri Sihvonlampi",1,8 ha
"Pieni Leväjärvi",1,5 ha
Enonvesi,1,19 668 ha
Maadajävri,2,96 ha
Halkjärvi,1,197 ha
"Alinen Pienijärvi",1,1 ha
Pikku-Kairi,1,4 ha
Ärjenlampi,1,2 ha
Urpojärvi,1,9 ha
Raivolampi,2,28 ha
"Pieni Jaakonlampi",1,5 ha
Hummelvik,1,2 ha
"Alimmainen Saarilampi",1,26 ha
Poksamolampi,2,17 ha
Kattviken,1,1 ha
Vähä-Rytkö,1,8 ha
Metsä-Vaikko,1,82 ha
Maholammi,1,3 ha
Kesänkijärvi,1,48 ha
Iso-Levänen,2,6 ha
Öraträsket,1,4 ha
Kaareslammi,1,3 ha
Sukkulalampi,1,19 ha
Kuusiseljänlampi,3,9 ha
Mutkanjärvi,1,23 ha
Lippahaisenjärvi,1,13 ha
Ruuhisenjärvi,1,3 ha
Latva-Naurua,1,1 ha
"Pikku Pahalammi",1,2 ha
Lehto-Uitus,1,12 ha
Kortjärvsjön,1,60 ha
Jamalinjärvi,1,122 ha
"Ylinen Angassaivo",1,12 ha
Kolhonjärvi,2,63 ha
Pieni-Läänä,1,50 ha
"Yläinen Myyräjärvi",1,1 ha
Sáivajávri,1,9 ha
Luohttojavri,1,55 ha
Särkilompolo,1,125 ha
"Pikku Papuluoma",1,50 ha
"Pitkä Karijärvi",1,3 ha
Kiurulampi,7,40 ha
Matala-Teerinen,1,6 ha
Kakkorinlammi,2,4 ha
"Iso Peräjärvi",1,1 ha
Pieni-Pesonen,1,8 ha
Kynsikaarajärvi,1,8 ha
"Pieni Saittajärvi",1,62 ha
Tahvana,1,9 ha
Vuotsonlampi,2,6 ha
Torjulampi,1,4 ha
Liioslampi,1,4 ha
Korsaarenjärvi,1,5 ha
Kodojävri,1,111 ha
Iso-Pihlainen,1,39 ha
Ala-Aisus,1,20 ha
Kungsöfjärden,1,16 ha
Saapaslammi,1,1 ha
"Iso Löytty",1,3 ha
Peävrrekjavri,2,23 ha
Selänpäänlampi,1,2 ha
Suurensuonlampi,5,13 ha
Iiroonjärvi,1,278 ha
Lammikko,1,4 ha
"Pikku Lehtojärvi",2,14 ha
Myräjärvi,1,24 ha
Jeägeloaivi,1,2 ha
"Pikku Kolkko",1,2 ha
Lauhanlampi,1,14 ha
Köninlampi,1,2 ha
Pyöreä-Tiitta,1,3 ha
Hurtanlampi,1,2 ha
Eteläistenjärvi,1,16 ha
Aimotaponlammi,1,3 ha
"Ylimmäinen Vuottojärvi",1,56 ha
Viitalammi,3,7 ha
Sääksjärvi,17,5 471 ha
Sorvalahti,1,7 ha
Erälampi,2,8 ha
Pöllälampi,2,53 ha
Kortevesi,1,3 ha
Huosiusjärvi,2,81 ha
Hernejärvi,1,278 ha
Värttäänlampi,1,3 ha
"Pieni Perkausjärvi",1,17 ha
Kahpertievajavri,1,11 ha
Tetrilampi,20,144 ha
Tiponen,1,2 ha
"Pieni Honkajärvi",1,19 ha
Luukkulampi,1,1 ha
Tahkurinlampi,1,1 ha
Rättilänjärvi,1,81 ha
Maaselkäjärvi,1,2 ha
Vankienkämppälampi,1,2 ha
Kaakamajärvi,1,20 ha
Karjakanselkä,1,50 ha
Irotanlampi,2,3 ha
Pilkutin,1,18 ha
Neikkarlampi,1,2 ha
Teinusjärvi,1,27 ha
Luitti,1,6 ha
Liukonlammi,1,2 ha
Naukjärvi,3,54 ha
Bötessundet,1,3 ha
"Pieni Vehkajärvi",4,101 ha
Siitosvaaranlampi,1,2 ha
Torahjärvi,1,4 ha
Aksujärvi,2,423 ha
Vähä-Ruhmas,1,39 ha
Aihkiselänjärvi,1,8 ha
Viharinjärvi,1,34 ha
Tuomistonjärvi,1,4 ha
Impiönjärvi,1,419 ha
Iso-Laakkonen,1,5 ha
Roikanlampi,1,7 ha
Petäjävaaranlampi,1,1 ha
Sydännyksenjärvi,1,2 ha
Vanttajajärvi,1,383 ha
Kotjonjärvi,1,79 ha
Rantajärvi,5,183 ha
Toivolanlammi,1,7 ha
Aslahti,1,32 ha
Pieni-Varvikko,1,7 ha
Kuvasjärvi,2,107 ha
"Iso Karahkajärvi",1,36 ha
Kontolampi,2,82 ha
Huhtajärvi,2,20 ha
"Ylimmäinen Haisujärvi",1,8 ha
Iso-Syyry,1,3 ha
Ahven-Koukero,1,2 ha
"Ylinen Pirttijärvi",1,6 ha
"Ylimmäinen Kuivaslampi",1,2 ha
Katthavet,1,4 ha
Maljaslommol,1,11 ha
Ylinjärvi,1,37 ha
Oitinlampi,1,3 ha
Lylynjärvi,1,3 ha
Martikkalanjärvi,1,21 ha
"Pieni Pitkäjärvi",1,16 ha
Oinoslampi,1,3 ha
Halliaisenlampi,1,1 ha
Mäkräjärvi,2,12 ha
Pikkujärvi,18,141 ha
Kypärä-Levänen,1,106 ha
Tammukkalampi,1,9 ha
Viininlampi,1,10 ha
Kultalampi,6,13 ha
"Iso Korpijärvi",4,140 ha
Ala-Pääski,1,9 ha
"Iso Antonjärvi",1,16 ha
Konkonlampi,1,2 ha
"Keskimmäinen Akanjärvi",2,37 ha
Iso-Viitanen,2,41 ha
Jupuralampi,1,21 ha
"Iso Kypäräinen",1,3 ha
Miilulampi,2,5 ha
Norrträsket,3,21 ha
Pieni-Kauro,1,43 ha
Suurensuonlammi,2,4 ha
Porkkauslampi,1,3 ha
Tussunjärvi,1,29 ha
Iso-Loute,1,3 ha
Kopinonlampi,1,14 ha
"Ylimmäinen Palolampi",2,4 ha
"Iso Taipalejärvi",1,28 ha
Ala-Pirttilampi,1,8 ha
Avddsasjavri,1,62 ha
Tulilampi,24,85 ha
Timoskanlampi,1,2 ha
Eteläluoma,1,23 ha
Kavonlahti,1,8 ha
"Pieni Ruokojärvi",2,38 ha
Iso-Rommakko,1,273 ha
Iniörarna,1,7 ha
Nuuksunlampi,1,32 ha
Purnujärvi,6,552 ha
Mölkölampi,1,24 ha
"Kivi- ja Levalammen tekojärvi",1,832 ha
Sulkaluoma,1,20 ha
Ruijanmeri,1,2 ha
Kuuslampi,1,5 ha
Vaara-Mustikkalampi,1,12 ha
Lestijärvi,1,6 474 ha
Pitkäperä,1,22 ha
Maantielampi,1,5 ha
"Ylinen Hähkälammi",1,4 ha
Iso-Vyötti,1,23 ha
Peura-Aavanlampi,2,6 ha
Vilmalehdonlampi,1,2 ha
Suopumajärvi,1,136 ha
Ganešláttu,1,2 ha
Routelolampi,1,4 ha
Tsuoggakeähtsejavri,1,5 ha
"Heikkilän Hoikka",2,7 ha
Pilpanjärvi,1,2 ha
Pikku-Liipas,1,2 ha
Tahkolampi,4,18 ha
Kantosaarenmonttu,1,3 ha
Tuomiojärvi,3,532 ha
"Iso Viitalampi",3,14 ha
Buolžžajávri,1,10 ha
Pienojanlampi,1,9 ha
Suolikot,1,1 ha
"Alinen Tuohisurma",1,1 ha
Ukkosenvaaranlampi,1,2 ha
Komiojärvi,1,99 ha
Pilkkasiipilampi,1,5 ha
Lipiäinen,1,4 ha
Ylä-Vehka,1,2 ha
Ulvonjärvi,1,71 ha
Puukkolampi,11,46 ha
"Pieni Pirtajärvi",1,27 ha
Kompanjärvi,1,4 ha
Lippajärvi,1,57 ha
Sahrikas,1,2 ha
Kalatonjärvi,13,154 ha
Rieponlampi,1,5 ha
Nartsamojärvi,2,44 ha
"Iso Saunajärvi",1,24 ha
"Kaskamus Silisluobbal",1,78 ha
Riekkolampi,3,19 ha
Ylijärvi,11,258 ha
Suo-Kolkko,1,22 ha
Vipulampi,2,9 ha
Koirlampi,2,4 ha
Ilotunlampi,1,2 ha
Ropakkojärvi,1,51 ha
Pyörykkä,1,4 ha
Löyttynen,1,1 ha
Muutalampi,1,39 ha
"Hennin Matin tupajärvi",1,2 ha
"Iso Kuhajärvi",1,137 ha
Häähnijärvi,1,82 ha
Mikittijärvi,1,13 ha
Harabjavri,1,16 ha
Sirviönlampi,1,1 ha
Harjuvesi,1,5 ha
Tupakkiruiskimajärvi,1,26 ha
Nahvonjärvi,1,12 ha
"Iso Samjärvi",2,32 ha
Pakolanjärvi,1,1 ha
Juostenpaskattu,1,2 ha
"Iso Kärsämäenjärvi",1,35 ha
Suuri-Lyytikkä,1,20 ha
"Suuri Joutenlampi",1,8 ha
Liivantajärvi,1,1 ha
Vesalanlampi,2,32 ha
Erävisjärvi,1,51 ha
Kukkolampi,12,77 ha
Aittalompola,1,41 ha
Härmäporinjärvi,2,8 ha
"Stáálu Kuátsaijävri",1,10 ha
Iso-Mäntynen,3,211 ha
Vähä-Mutanen,1,1 ha
Iso-Rapanen,1,65 ha
Pohjois-Syväjärvi,1,23 ha
Raholanjärvi,1,253 ha
Tyystlampi,1,2 ha
Odilampi,1,2 ha
Ruotaanjärvi,1,44 ha
Matarlampi,1,1 ha
Peltolammi,1,17 ha
Ala-Rikinjärvi,1,124 ha
Haatajanlampi,2,5 ha
Löydönlampi,1,20 ha
Ruutana,10,30 ha
Huujärvi,1,30 ha
Toiviaisjärvi,1,95 ha
Kuntakkijärvi,1,11 ha
Mytäjärvi,1,2 ha
Pohjukkalampi,1,1 ha
Joukkaisriivi,1,12 ha
Sulkulahti,1,3 ha
Rummakkolampi,4,14 ha
Saukkolampi,39,274 ha
Pietolanlahti,1,2 ha
Mörtträsket,4,24 ha
Kaksonlampi,1,4 ha
"Alainen Ruokepuolinen",1,3 ha
Liukonlampi,1,2 ha
"Pieni Peniönlampi",1,12 ha
Iso-Hirvas,1,3 ha
Luhpujärvi,1,1 ha
Vihnusjärvi,1,69 ha
"Ylimmäinen Vähälampi",1,6 ha
Pohja-Valkeinen,1,11 ha
Airamojärvi,1,9 ha
Uutunlampi,1,2 ha
Sammilanjärvi,1,6 ha
Seimenlampi,1,12 ha
Iso-Hiukka,1,19 ha
"Iso Mustalampi",7,74 ha
Väivelammi,1,1 ha
Djupdalsträsket,1,5 ha
Juola-Jatko,1,2 ha
Jovloluobbal,1,14 ha
Övrekastet,1,5 ha
Ruuttijärvi,2,5 ha
Autiolampi,21,156 ha
"Pikku Seluskanjärvi",1,17 ha
Varaslampi,2,38 ha
"Pieni Ritolampi",1,10 ha
Viissorkkanen,1,2 ha
Hautalahti,1,14 ha
Hemträsket,5,60 ha
"Pieni Rajalampi",2,8 ha
"Suuri Siikalampi",1,6 ha
Soudunkorvanlampi,1,1 ha
Puurulampi,1,2 ha
Valkoinen-Tokamo,1,14 ha
Iso-Heikinlampi,1,4 ha
Vehkajärvi,27,3 911 ha
"Ylinen Honkajärvi",1,6 ha
"Alinen Neulalampi",1,4 ha
Sokalampi,1,1 ha
Hartikanlampi,3,12 ha
Rabahjavri,1,34 ha
Vihanninjärvi,1,165 ha
Maijootlampi,2,14 ha
Rikkijärvi,1,74 ha
Hiidenkaivo,1,1 ha
Palvanen,1,117 ha
Murhilampi,1,6 ha
Kehäjärvi,1,12 ha
Palkkalampi,1,6 ha
Kärkkäisenlampi,1,1 ha
Musta-Kaijo,1,2 ha
Nihtijärvi,1,4 ha
Puntasjärvi,1,57 ha
Iso-Kukkamo,1,92 ha
Likaslampi,1,6 ha
Liinolammi,1,1 ha
Telkkölampi,1,2 ha
Verkalampi,1,3 ha
Posionjärvi,1,1 889 ha
Särkäntauslampi,1,3 ha
Kukkonen,1,5 ha
Keski-Levä,1,2 ha
Lallinlampi,1,11 ha
Laakkolanlampi,1,1 ha
Arvolampi,1,15 ha
Hyytiä,1,1 ha
Marsujärvi,1,106 ha
Kämppäjärvi,2,5 ha
Heräkäs,1,6 ha
Nunasjärvi,4,61 ha
Pienempivesi,1,31 ha
Nuoniinlampi,1,1 ha
Iso-Askanjärvi,1,95 ha
Viidanjärvi,1,4 ha
Makonlampi,1,5 ha
Iso-Vihtari,1,662 ha
Tastulanjärvi,1,36 ha
Pieni-Paalanen,1,2 ha
Pyöriälompola,1,5 ha
Sourunlampi,6,19 ha
Mannenlampi,1,3 ha
"Pieni Rytkynjärvi",1,19 ha
Hähköönjärvi,1,6 ha
Hainuslampi,1,14 ha
"Pieni Venäitlampi",1,8 ha
Kyrsäjärvi,1,1 ha
"Ylimmäinen Kortelampi",1,4 ha
Alainen-Sappio,1,27 ha
Lohnajärvi,1,402 ha
Vävnihjuuvads,1,5 ha
Hovinlampi,2,37 ha
Sivulampi,1,15 ha
Pakkulalampi,1,8 ha
Mäyrälammi,2,2 ha
Vähä-Pitkä,1,10 ha
Kolinlampi,1,3 ha
Pasko-Loute,1,1 ha
Vitikkotunturinlampi,1,4 ha
Suovalampi,3,29 ha
"Ylimmäinen Mätäsjärvi",1,4 ha
Laari,1,8 ha
Ullajärvi,1,53 ha
Grundfjärden,1,2 ha
Kärnäjärvi,1,51 ha
Kevatoinen,1,77 ha
Satulainen,1,52 ha
Kolmikannanlampi,2,2 ha
Karkeinen,1,88 ha
"Pikku Rovijärvi",1,67 ha
Lettojärvi,1,3 ha
"Ylimmäinen Koutelampi",1,2 ha
"Iso Innonjärvi",1,4 ha
"Ylimmäinen Kiekerölampi",2,26 ha
Ulkan-Valkea,1,2 ha
Kiipunjärvi,1,61 ha
Tuuralammi,1,8 ha
Maulammi,1,2 ha
Larsmosjön,1,6 766 ha
Maaslampi,1,3 ha
Annijärvi,1,6 ha
Kuontijärvi,1,595 ha
Pieksänjärvi,1,2 098 ha
Hilttiöjärvi,1,44 ha
Kannantakainen,1,4 ha
Kontionlampi,1,7 ha
"Pieni Nuupasjärvi",1,24 ha
Patamonlammi,1,5 ha
"Alimmainen Käärmejärvi",1,5 ha
Tuli-Koivunen,1,10 ha
Satimusjärvi,1,2 ha
Pintele,1,304 ha
Kahdeksikko,1,4 ha
"Vähä Latvalampi",1,1 ha
Tavajärvi,2,58 ha
"Iso Onkilampi",5,41 ha
Laamanlampi,1,7 ha
Raijojärvi,3,15 ha
"Iso Suonlampi",1,3 ha
"Vähä Keltajärvi",1,3 ha
Välisuvanto,1,4 ha
Heinänen,2,63 ha
"Iso Herolampi",1,2 ha
Raitalampi,2,17 ha
Mäenalanen,2,9 ha
Äijävaaranlampi,1,5 ha
Uskiajärvi,1,12 ha
"Pieni Mätäslampi",1,7 ha
Kelkäte,1,12 ha
Palolompolo,1,180 ha
Väärälampi,60,387 ha
Vestijärvi,1,134 ha
Lauttonen,1,14 ha
Ylimmäinenlampi,1,2 ha
Joutsenus,1,28 ha
Pöllöjärvi,1,106 ha
Heikijärvi,1,1 ha
Kaurastenjärvi,1,5 ha
Suovaaranaluslampi,1,1 ha
Ripilampi,1,1 ha
"Ylimmäinen Ahvenlampi",1,7 ha
"Ala Riihilampi",1,4 ha
Teirijärvi,1,12 ha
Pieni-Mäkijärvi,1,11 ha
Pellikanlampi,1,2 ha
Ala-Paskolampi,2,4 ha
Pikku-Ollove,1,1 ha
Koikeroinen,1,74 ha
"Alainen Myllyjärvi",1,3 ha
Laitajärvi,1,2 ha
"Stallkaga träsk",1,1 ha
Ruuhilampi,24,200 ha
Vuomakasjärvi,1,47 ha
Kirakkajärvi,3,436 ha
Osatunlammi,1,5 ha
"Pikku Luusanlampi",1,2 ha
Koddohjävri,1,59 ha
Lehijärvi,2,793 ha
Luikkulampi,1,6 ha
"Syvä Puljujärvi",1,2 ha
Sulatuslampi,2,42 ha
"Mörka Krokoträsket",1,3 ha
Taatonlampi,1,1 ha
Soavviljavri,2,101 ha
Martjärvi,1,14 ha
Ala-Lyly,1,55 ha
"Matala Karijärvi",1,6 ha
Siukanjärvet,1,47 ha
"Pieni Vehkolampi",1,5 ha
Heinä-Valkeinen,1,8 ha
Kaituenlampi,3,36 ha
Muuranlammi,2,7 ha
Liipparo,1,2 ha
"Iso Niinilampi",1,27 ha
"Bötesö träsket",1,1 ha
"Iso Kätönlampi",1,15 ha
Juurikkojärvi,2,31 ha
Manemusjärvi,1,13 ha
Pönkä,2,6 ha
"Pikku Paskolampi",1,2 ha
"Pikku Muurajärvi",1,1 ha
Pikkulampi,22,54 ha
Kuuslammi,3,22 ha
Löyhynlammi,1,1 ha
Ala-Vähälampi,1,3 ha
"Iso Ruutlampi",2,6 ha
Väärä-Väihi,1,4 ha
"Pieni Ruoppijärvi",1,8 ha
Säviträsk,1,1 ha
Iso-Ohtalampi,1,25 ha
Yli-Pirinjärvi,1,28 ha
"Yläinen Karkjärvi",1,156 ha
Iso-Inha,1,35 ha
Pilkkilampi,1,4 ha
"Eteläpuolimmainen Pitkälampi",1,3 ha
"Iso Riukulampi",1,2 ha
"Vähä Valkeajärvi",4,48 ha
Rupakonlampi,1,4 ha
"Pikku Soukisjärvi",1,13 ha
Joutsenuslampi,1,1 ha
Jormasjärvi,1,2 047 ha
Säläisjärvi,1,54 ha
Karttaslampi,1,2 ha
Härkälampi,16,42 ha
Ihanajärvi,1,23 ha
Rasalampi,2,18 ha
Seitalompolo,1,64 ha
Pohjakumpulampi,1,5 ha
Jaurulampi,2,11 ha
Tekemäjärvi,1,50 ha
Lekinlampi,1,2 ha
Tenjärvi,1,32 ha
Pohjajärvi,5,99 ha
Mallajärvi,1,17 ha
Naapurinlampi,6,30 ha
Alainenjärvi,2,17 ha
Kylänlammi,1,5 ha
"Pitkä Humaljärvi",1,7 ha
Kolmoslompolo,1,17 ha
Suuri-Sipi,1,9 ha
Kalatonlampi,28,81 ha
