,"Järvien lukumäärä","Pinta-ala yhteensä"
"Iso Kutujärvi",1,2 ha
Kalliomusta,1,3 ha
Rasaporinlampi,1,2 ha
Korkeenjärvi,1,28 ha
Latvanlampi,1,1 ha
"Pieni Petäjäjärvi",4,33 ha
Luodelampi,5,21 ha
Luukkosenlampi,4,15 ha
"Pikku Pirttijärvi",2,4 ha
Ruahujaaurads,1,6 ha
Lepolammi,2,6 ha
"Iso Seluskanjärvi",1,112 ha
Vilkaslampi,1,2 ha
Rysäjärvi,1,7 ha
Tavilampi,13,36 ha
Virkalammi,1,7 ha
Nenänjärvi,1,1 ha
Kovelinlampi,1,1 ha
Ilomantsinlampi,1,3 ha
Perunkaselänlampi,1,20 ha
Kalddasluobbal,1,7 ha
"Iso Rokolampi",1,8 ha
"Pikku Kullaanjärvi",1,16 ha
Puljujärvi,4,90 ha
Pitkänsillanjärvi,1,2 ha
Yppylilampi,1,5 ha
Huilulammi,1,1 ha
Skånstensflagan,1,3 ha
Ala-Saukkojärvi,1,40 ha
Laakalampi,4,89 ha
Heiluanjärvi,1,44 ha
Ajakka,2,224 ha
Kiurunlampi,1,40 ha
Anijärvi,1,11 ha
Kontholmsbrunnen,1,2 ha
Suo-Keljänlampi,1,2 ha
"Ylinen Alhajärvi",1,6 ha
Puitelampi,1,5 ha
Lieju-Palonen,1,12 ha
Levajärvi,1,16 ha
Västerträsk,1,11 ha
Kuolemaiset,1,6 ha
Ypykänlampi,1,5 ha
Omenajärvi,1,9 ha
Särkisuonlampi,1,1 ha
Yli-Naarma,1,187 ha
Onkilammi,3,12 ha
Lismajärvi,4,37 ha
Vähä-Valkeajärvi,1,4 ha
Soudunjärvi,1,235 ha
Latikko,1,1 ha
"Vähä Tiilijärvi",1,10 ha
Härjänhirttymäjärvi,1,4 ha
"Suuri Haapjärvi",1,37 ha
"Pieni Kinkolampi",1,2 ha
Hulipas,1,70 ha
Keisjärvi,1,12 ha
Poikamonlammi,1,1 ha
Ala-Kuolimo,1,16 ha
Kuraslampi,1,1 ha
"Pieni Aapalampi",1,3 ha
"Keskimmäinen Haisujärvi",1,11 ha
Keravanjärvi,1,78 ha
Onkerlammi,1,1 ha
Kolpers,1,2 ha
Jouhteninen,7,99 ha
Niittyvalkiainen,1,4 ha
Koivuträsket,1,6 ha
Palvaanjärvi,1,23 ha
Myllysenlampi,1,13 ha
"Alimmainen Väliviianlampi",1,3 ha
Ellinlampi,1,11 ha
Iso-Rapuska,1,5 ha
Viipperonjärvi,1,99 ha
Litmalampi,2,3 ha
Kullajärvi,1,123 ha
Mustanen,2,47 ha
Vähä-Rapanen,1,13 ha
Mäki-Aijalainen,1,6 ha
Onkimanjärvi,1,6 ha
Salilammi,2,3 ha
Pietarinkotalompola,1,5 ha
Houkkalanlampi,1,23 ha
Tutunen,1,17 ha
Kaunastenlammi,1,3 ha
Långskärsmaren,2,2 ha
"Pikku Isterinjärvi",1,31 ha
Vuorinenjärvi,1,10 ha
"Iso Olvasjärvi",1,455 ha
"Lilla Vojärv",1,11 ha
Kinnijärvi,1,79 ha
Pernunlampi,2,27 ha
"Iso Liemulampi",1,2 ha
Iso-Lukkari,2,24 ha
Riihilammi,5,19 ha
"Alempi Kivivuopajajärvi",1,23 ha
"Pajimus Tsieskuljavri",1,14 ha
Ylä-Aittolampi,2,3 ha
Säkälampi,1,7 ha
Lovttokiellasajavri,1,15 ha
"Iso Latjärvi",1,16 ha
Honkajärvi,19,779 ha
Joki-Jonottaja,1,4 ha
Häikiä,1,3 ha
Tuuranlampi,1,4 ha
Kakarlampi,7,14 ha
Kalkutijärvi,1,2 ha
Hyötymäjärvi,1,8 ha
Kuulajalampi,1,7 ha
Keski-Kuusijärvi,1,21 ha
Leimauslampi,1,2 ha
"Pieni Kumpulampi",1,5 ha
Puolakkalampi,1,3 ha
"Iso Tolpanjärvi",1,26 ha
Tarvajärvi,1,6 ha
Siuruanjärvi,1,27 ha
Suuri-Syväri,1,5 ha
Puumanninlampi,1,2 ha
Tyvilammi,1,2 ha
Monnonjärvi,1,25 ha
Isonkankaanjärvi,1,9 ha
"Ylempi Joukkasjärvi",1,43 ha
Letkunlammi,1,3 ha
"Pikku Aapalampi",2,9 ha
Sunijärvi,1,65 ha
Vähä-Arajärvi,1,50 ha
Rautapäänjärvi,1,3 ha
Lompolajärvi,1,2 ha
Viipuanjärvi,1,29 ha
Luirojärvi,1,144 ha
Naalimaanjärvi,1,12 ha
Polttijärvi,1,4 ha
Annankotajärvi,1,2 ha
Hipanlampi,1,1 ha
Kivisenlampi,1,2 ha
Yölampi,18,61 ha
Näcksundsträsket,1,10 ha
Heinä-Ruoke,1,3 ha
Suonsilmä,1,2 ha
Syrjä-Kolu,1,1 ha
Vepsäläinen,1,1 ha
Pyörättilampi,1,2 ha
Maijärvi,1,13 ha
"Suuri Jorkanlampi",1,6 ha
Häkkisenlampi,2,4 ha
Djupträsk,1,5 ha
Hoskanlampi,1,1 ha
Jaakonlahti,1,2 ha
Valkoslammit,1,1 ha
Latovesi,1,34 ha
"Iso Rajalampi",3,17 ha
Tattarlampi,1,1 ha
Pitkä-Hakkarainen,1,10 ha
Myyränjärvi,1,22 ha
"Alimmainen Kuortakkilompola",1,21 ha
Pikku-Kuha,1,9 ha
"Pikku Papinlammit",1,2 ha
Pieni-Valkia,4,12 ha
"Vähä Venesjärvi",1,27 ha
Vähä-Kivinen,1,5 ha
"Pieni Ylälampi",1,1 ha
Joukahaisjärvi,2,3 ha
Kammari,2,30 ha
Löysäkki,1,34 ha
Mörtsjö,1,13 ha
Mökinlampi,1,5 ha
Tasträsket,1,18 ha
Karalampi,1,3 ha
Hummajärvi,1,5 ha
Alajärvenlompola,1,4 ha
Ventus,1,4 ha
Kolvanlampi,1,7 ha
"Keskimmäinen Leppäjärvi",1,9 ha
Seäibelakladdu,1,2 ha
"Vähä Vahantajärvi",1,12 ha
Räkkälampi,1,3 ha
"Suuri Paljärvi",1,235 ha
"Pieni Koijärvi",3,28 ha
Yli-Hanhilampi,1,4 ha
Mysiönlampi,1,2 ha
Jaurakkajärvi,2,683 ha
Puusasjärvi,1,47 ha
Palo-Korvalampi,1,15 ha
Kemplampi,1,3 ha
Härinkork,1,1 ha
Parvajärvi,5,713 ha
Järtträsket,1,12 ha
Teikkualampi,1,5 ha
Rottajärvi,1,4 ha
"Iso Hangaslampi",4,39 ha
"Kalvskärs träsket",1,3 ha
Vasamanlampi,1,2 ha
Kuottsamjavraah,1,5 ha
Louetjärvi,1,50 ha
"Västerby Storträsket",1,46 ha
Lampellonjärvi,1,6 ha
Jorhonjärvi,1,39 ha
"Iso Roskajärvi",1,34 ha
Tolkkaanlampi,1,3 ha
Kaakkurinpesälampi,1,4 ha
Finnviken,2,3 ha
Kytäjärvi,1,267 ha
"Vähä Silmälammi",1,2 ha
"Pieni Lauttalampi",2,5 ha
Jullamoaivijävri,1,12 ha
Ali-Heikinjärvi,1,30 ha
Laattalampi,1,4 ha
Iso-Muuratlampi,1,5 ha
Könkäänlampi,7,79 ha
Pieni-Pölläkkä,1,28 ha
Onkivesi,1,11 362 ha
Pieni-Tahkonen,1,13 ha
Nahkurinlampi,1,2 ha
Kallio-Ruokonen,1,3 ha
Lipolampi,1,2 ha
Pikku-Niihama,1,8 ha
"Velskolan Pitkäjärvi",1,102 ha
Juuanjärvi,1,215 ha
Kautsenlampi,1,3 ha
Ohtonen,1,24 ha
Myöjärvi,1,14 ha
Sorvastonlampi,1,6 ha
Hasiajärvi,1,3 ha
Suskonlampi,1,3 ha
Terveyslampi,1,2 ha
Mankajärvi,1,12 ha
Takkalampi,2,7 ha
Salo-Ahvenlampi,1,5 ha
Vihottu,1,18 ha
Taukomajärvi,1,12 ha
Katisvuorenlampi,1,2 ha
Jorbajavri,1,21 ha
Kopru,1,6 ha
Elimo,1,36 ha
Tikanjärvi,1,4 ha
Muslammi,1,15 ha
Lemilampi,7,23 ha
Pieni-Pärnäjärvi,1,7 ha
Vähä-Auttijärvi,1,81 ha
Hako-Palokki,1,60 ha
Hylönjärvi,1,9 ha
Holmträsket,2,5 ha
Itkujärvi,2,22 ha
Liesijärvi,2,330 ha
Tuparepimälampi,1,2 ha
Hinttajärvi,1,70 ha
Reppulampi,1,4 ha
"Änkis träsk",1,12 ha
Vieremänlampi,1,7 ha
Heinä-Uuttulampi,1,24 ha
Tattarilampi,1,2 ha
Ruukinlampi,1,8 ha
Järvinevanlampi,1,5 ha
"Vähä Kiimajärvi",1,3 ha
